appid	name	playtime_forever	img_icon_url	img_logo_url	playtime_windows_forever	playtime_mac_forever	playtime_linux_forever	achievements	total_achievements	earned_achievements	is_multiplayer	genre	price	reviews
323580	Jotun: Valhalla Edition	0	69b336a11a1e8acee4034b970a89c1df7cf53b32	09e4f191cbafba7d3cde386e73abe1e0504146b4	0	0	0	0.0	36	0	False	Adventure	179.99	Very Positive
698780	Doki Doki Literature Club	0	2bf8ed528d8f251428435a6f6ffc8e4e8e4b294c	76c3e09407e445568c9bb32d77bf364168ea45ed	0	0	0		0	0	False	Visual Novel	0.0	Overwhelmingly Positive
745880	東方天空璋 ～ Hidden Star in Four Seasons.	116	13b9f16dfcf3f8c3dd859c78c73ae70d39db28e7	f94a8001490d43d01aef7feca5ae30f5585b7ed9	0	0	0		0	0	False	Bullet Hell	179.99	Overwhelmingly Positive
755790	Ring of Elysium	45	bff111ed4307fc769143eb3d652fb940c363e37e	2bd082f4dfc8251d5ed8b198e08f273c431e7b6c	0	0	0		0	0	False	Battle Royale	0.0	Mixed
813820	Realm Royale	93	9c57e70460f256b775b9131591cc26ddf08d8afa	14d9eaf782b608a3299825a7522b82e97de1cba8	0	0	0	0.0	22	0	True	Battle Royale	0.0	Mostly Positive
878760	Realm Royale - Test Server	0	9c57e70460f256b775b9131591cc26ddf08d8afa	b3c468b4233ff613346f7d4ecf8ed9492427cd29	0	0	0		0	0				
632350	Cyberdimension Neptunia: 4 Goddesses Online	0	36766655ef9a0090fdfd3dce180723893ca706d5	0b2eca70bf99056e861a1cde2f5135552a2d75ac	0	0	0	0.0	50	0	False	JRPG	329.99	Very Positive
365450	Hacknet	0	2445c4ead6ee47784a326922271ec1c0b41d64e2	50479f0bfe5a552132a0fc2668640b2e6a737398	0	0	0	0.0	11	0	False	Hacking	129.99	Very Positive
304390	For Honor	0	64dd8eca34f0b5faeda135f057da1973806852f2	7d851b600a101d37c1b2e3e542fe02a3013a3283	0	0	0		0	0	False	Fighting	559.0	Mixed
654310	For Honor - Public Test	0	64dd8eca34f0b5faeda135f057da1973806852f2	fd4e6f834821573215fd71803958f2c0bb8411ec	0	0	0		0	0				
231430	Company of Heroes 2	0	5e7e1866fb4f33a17393b0441cd1c750dbd91c5f	1be017e709b9b0638e82b399cc97de4667f44a1e	0	0	0	0.0	452	0	True	Strategy	224.99	Mixed
204880	Sins of a Solar Empire: Rebellion	0	31832cdd443b665a8ae599f76761411f3d939b98	cf3a1034cce00de47f88675627c620d841572206	0	0	0	0.0	68	0	True	Strategy	439.99	Very Positive
308600	Geneshift: Battle Royale Turbo	0	ad5a53a4d002455f24a246515e0580b1aae4f691	d28bd59b1396fc128035d89d38e88afc36f22fce	0	0	0	0.0	40	0	True	Battle Royale	0.0	Very Positive
431930	Kabounce	0	17c693c655d7b0d05c4aae328a90e7ed57b225ab	e9a69c6f4cec272a388ace024e254607f2da1505	0	0	0	0.0	50	0	True	Sports	179.99	Very Positive
440	Team Fortress 2	1211	e3f595a92552da3d664ad00277fad2107345f743	07385eb55b5ba974aebbe74d3c99626bda7920b8	0	0	0	0.08269230769230769	520	43	True	FPS	0.0	Very Positive
570	Dota 2	297	0bbb630d63262dd66d2fdd0f7d37e8661a410075	d4f836839254be08d8e9dd333ecc9a01782c26d2	0	0	0		0	0	True	MOBA	0.0	Mostly Positive
630	Alien Swarm	29	67126b5081b423af53f5e88e8e81d91b15daa644	de3320a2c29b55b6f21d142dee26d9b044a29e97	0	0	0	0.045454545454545456	66	3	True	Shooter	0.0	Mostly Positive
17520	Synergy	16	cd0cceaa6856b0309fa44355c53b91ee0be0bb8b	8dc4b40628fe30c38c04a69c985568313383fb17	0	0	0	0.0	1	0	True	FPS	0.0	Very Positive
